REALbasic,recalled redirect to "Xojo",
HyPhy, mentioned in "HYPHY_(software)",
HTTP, mentioned in "Hypertext_Transfer_Protocol",
Closure Templates, mentioned in "Google_Closure_Tools",
GDScript, mentioned in "Godot_(game_engine)",
Linker Script, mentioned in "GNU_linker",
GCC Machine Description, mentioned in "GNU_Compiler_Collection",
Game Maker Language, mentioned in "GameMaker_Studio",
Spline Font Database, mentioned in "FontForge",
JFlex, mentioned in "Flex_(lexical_analyser_generator)",
HTML+ERB, mentioned in "ERuby",
Ecere Projects, mentioned in "EC_(programming_language)",
ooc, mentioned in "EC_(programming_language)",
Dockerfile, mentioned in "Docker_(software)",
Darcs Patch, mentioned in "Darcs",
Cuda, mentioned in "CUDA",
Gherkin, mentioned in "Cucumber_(software)",
Csound Score, mentioned in "Csound",
Liquid, mentioned in "Comparison_of_web_template_engines",
Nearley, mentioned in "Comparison_of_parser_generators",
'Cap''n Proto', mentioned in "Comparison_of_data_serialization_formats",
CartoCSS, mentioned in "CartoDB",
Bluespec, mentioned in "Bluespec",
MAXScript, mentioned in "Autodesk_3ds_Max",
Augeas, mentioned in "Augeas (software)",
Unix Assembly, mentioned in "Assembly_language",
Arduino, mentioned in "Arduino",
Ant Build System, mentioned in "Apache_Ant",
Maven POM, mentioned in "Apache Maven",
AGS Script, mentioned in "Adventure_Game_Studio",
ColdFusion CFC, mentioned in "Adobe ColdFusion",
1C Enterprise, mentioned in "1C_Company",
ApacheConf, mentioned in ".htaccess",
